t_rosco,torque_offset_nm,gen_tq_meas_nm,f_grid_hz
0.0,0.0,0.0,50.125
0.0,0.0,0.0,50.125
0.0,0.0,0.0,50.125
0.01,-0.0,19786770.0,50.00154374215734
0.02,-0.0,19786770.0,50.00318896993493
0.03,-0.0,19786770.0,50.00521729066264
0.04,-0.0,19786770.0,50.00752061520299
0.05,-0.0,19786770.0,50.00752061520299
0.06,-0.0,19786780.0,50.01263932685951
0.07,-0.0,19786790.0,50.01263932685951
0.08,-0.0,19786800.0,50.018088331268274
0.09,-0.0,19786810.0,50.020848264694415
0.1,-0.0,19786830.0,50.023600393427905
0.11,-0.0,19786850.0,50.02632768518133
0.12,-0.0,19786880.0,50.02901680763179
0.13,-0.0,19786920.0,50.03165722747448
0.14,-0.0,19786960.0,50.034240536651076
0.15,-0.0,19787000.0,50.03675994611856
0.16,-0.0,19787060.0,50.03920990271046
0.17,-0.0,19787120.0,50.03920990271046
0.18,-0.0,19787190.0,50.043883751366856
0.19,-0.0,19787260.0,50.043883751366856
0.2,-0.0,19787350.0,50.0461004252715
0.21,-0.0,19787440.0,50.04823293954017
0.22,-0.0,19787540.0,50.050278789067995
0.23,-0.0,19787660.0,50.05223587191938
0.24,-0.0,19787780.0,50.054102552088075
0.25,-0.0,19787910.0,50.05587771012587
0.26,-0.0,19788060.0,50.057560777806046
0.27,-0.0,19788210.0,50.05915176497992
0.28,-0.0,19788380.0,50.06065128092075
0.29,-0.0,19788560.0,50.06206054862238
0.3,-0.0,19788750.0,50.06338140904312
0.31,-0.0,19788960.0,50.06461631255039
0.32,-0.0,19789180.0,50.06576829503992
0.33,-0.0,19789410.0,50.06684093720535
0.34,-0.0,19789650.0,50.06783830723196
0.35,-0.0,19789910.0,50.068764888786276
0.36,-0.0,19790180.0,50.0696254971429
0.37,-0.0,19790470.0,50.07042518826508
0.38,-0.0,19790770.0,50.07116916640854
0.39,-0.0,19791090.0,50.071862695706
0.4,-0.0,19791420.0,50.07251102134498
0.41,-0.0,19791770.0,50.07311930550651
0.42,-0.0,19792130.0,50.073692581557836
0.43,-0.0,19792510.0,50.07423572801733
0.44,-0.0,19792910.0,50.07475346194229
0.45,-0.0,19793320.0,50.07525034874203
0.46,-0.0,19793750.0,50.075730824022266
0.47,-0.0,19794200.0,50.076199221390596
0.48,-0.0,19794660.0,50.07665979917131
0.49,-0.0,19795150.0,50.077116759969606
0.5,-0.0,19795650.0,50.07757425775055
0.51,-0.0,19796170.0,50.07803638834298
0.52,-0.0,19796700.0,50.07850716205817
0.53,-0.0,19797260.0,50.0789904590928
0.54,-0.0,19797830.0,50.07948997020733
0.55,-0.0,19798420.0,50.08000912705404
0.56,-0.0,19799030.0,50.0805510281226
0.57,-0.0,19799660.0,50.08111836697368
0.58,-0.0,19800310.0,50.081713369709604
0.59,-0.0,19800980.0,50.082337748157414
